Player,Team,GamesPlayed,MPG,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Jalen Brunson,DAL,21,16.1,3,6.1,0.6,2,1,1.5,0.9,1.2,0.6,1.9,2.5,2.7,0.5,0,7.5
James Ennis,PHI,21,17.2,2.6,5.1,1,2.2,1.4,1.8,0.7,1.9,1.2,2.3,3.5,0.8,0.6,0.3,7.5
Meyers Leonard,MIA,21,18.9,2.5,4.2,1,1.9,0.2,0.4,0.9,2.2,0.3,4.1,4.4,0.9,0.3,0.4,6.1
De'Andre Hunter,ATL,21,31.6,4.3,11,1.7,4.7,1.8,2.3,1.8,2.6,0.5,3.6,4.1,1.7,0.6,0.2,12.2
Tyus Jones,MEM,21,20.3,2.4,6.5,0.3,1.5,0.9,1.2,1.3,0.9,0,1.5,1.5,4.7,0.8,0.1,6
Doug McDermott,IND,21,20.6,3.3,7.4,1.6,3.7,0.6,0.7,0.8,1.8,0.4,2.2,2.7,1,0.1,0.1,8.8
Mike Scott,PHI,21,19.1,2,5,1,3.2,0.5,0.5,0.4,1.6,0.7,2.6,3.3,0.7,0.2,0.1,5.6
Marko Guduric,MEM,21,15.1,2,5.1,0.8,2.5,0.6,0.6,1.1,1,0.5,1.5,2,1.5,0.3,0.2,5.2
James Harden,HOU,20,37.4,10.8,24.8,4.9,14.2,13.1,14.9,5.2,3.1,1,5.1,6.1,7.8,1.8,0.5,39.5
Damian Lillard,POR,20,36.7,8.2,18.4,3.2,8.8,6.8,7.5,2.8,2.1,0.6,4,4.6,7.4,1.1,0.5,26.6
Rudy Gobert,UTA,20,34,5.2,8,0,0,3.5,5.8,2.2,3.1,3.4,10.1,13.5,1.2,0.8,1.9,13.9
Pascal Siakam,TOR,20,36.9,9.4,20.1,2.4,6.2,3.9,4.8,2.9,2.9,1.6,7,8.6,3.9,0.8,0.7,25.1
Fred VanVleet,TOR,20,37.8,6,14.7,2.8,7,4,4.5,2.5,2.4,0.2,3.6,3.8,7.4,2,0.1,18.6
LaMarcus Aldridge,SAS,20,32.8,7.7,14.8,0.6,1.6,3,3.6,1.6,2.1,2,4.7,6.7,2.5,0.7,1.8,18.9
Devin Booker,PHX,20,35.3,8.6,17.1,2.2,5.4,4.7,5,4,3.1,0.5,3.1,3.6,6.2,0.6,0.3,24.1
Chris Paul,OKC,20,30.7,4.8,10.8,1.6,4.2,3.9,4.4,1.9,2.4,0.2,3.9,4.2,6,1.6,0,15.1
Jayson Tatum,BOS,20,34.5,7.5,18.6,2.4,6.8,3.5,4.2,2.1,2.4,1.4,5.7,7,2.8,1.4,0.8,20.9
Danilo Gallinari,OKC,20,30,5.6,12.4,2.9,6.6,4.4,4.8,1.2,1.6,0.6,5,5.6,2.1,0.6,0.1,18.4
Richaun Holmes,SAC,20,28,5.2,7.8,0,0,1.9,2.4,1,4.2,2.6,5.7,8.3,0.8,0.8,1.4,12.3
Kristaps Porzingis,DAL,20,30.4,6,15.1,2.1,6.2,2.7,3.9,1.6,3,1.8,7.2,8.9,1.4,0.6,2.1,16.8
Harrison Barnes,SAC,20,35.1,5.6,11.6,1.4,3.9,3.6,4.5,1.4,1.3,1.1,3.8,4.8,2,0.9,0.2,16.2
Kelly Oubre  Jr.,PHX,20,31,6,13.1,1.6,4.5,3.8,4.7,1.5,3.2,1.2,4.4,5.7,1.6,1.4,0.6,17.3
P.J. Tucker,HOU,20,35.5,3.5,6.7,1.9,4.2,0.8,0.9,0.9,3.2,1.5,4.8,6.2,1.4,1.5,0.6,9.8
Nemanja Bjelica,SAC,20,26.3,4.2,8.8,1.8,4.1,0.7,0.8,1.8,2.9,1.9,4.8,6.8,2.5,0.9,0.6,10.8
Shai Gilgeous-Alexander,OKC,20,34.4,6.8,15.7,1.4,4.2,3,3.9,2.2,1.8,0.8,4.2,5,3,0.9,0.5,18.1
Buddy Hield,SAC,20,34.1,7.5,18.1,3.8,10.4,2.2,2.6,2.6,2.6,0.9,3.9,4.8,2.7,0.8,0.4,20.9
Dario Saric,PHX,20,27.9,3.9,9.2,1.6,4.7,1.5,1.8,1.4,2.5,1.8,5.4,7.2,2,0.9,0.5,10.8
Brook Lopez,MIL,20,26.6,3.5,8.6,1.4,5,1.9,2.1,1.1,2.2,0.6,4.5,5,1.5,0.8,2.5,10.4
Cody Zeller,CHA,20,23.7,4.4,8.4,0.6,1.7,1.6,2.5,1.6,2.5,3,4.8,7.8,1.1,0.5,0.4,11
Alec Burks,GSW,20,29.2,5,12.2,1.4,4.2,3.5,4,1.4,2.2,0.7,3.8,4.4,2.8,1,0.3,15
George Hill,MIL,20,21.4,3.3,6.2,1.6,3,1.4,1.7,0.8,1.6,1,1.9,3,3.2,0.7,0.1,9.6
Willie Cauley-Stein,GSW,20,22.2,3.4,6.2,0,0,0.8,1.1,0.9,2.9,1.4,5,6.5,1.6,1.1,1.1,7.5
J.J. Redick,NOP,20,28.6,4.8,10.8,3.4,7.4,2.1,2.5,1.3,1.6,0.2,3,3.2,2,0.5,0.2,15.1
Norman Powell,TOR,20,28.4,4.8,10.2,1.9,4.8,1.9,2.2,1.4,1.8,0.5,3.5,4,1.6,0.9,0.3,13.3
Patrick Beverley,LAC,20,29.7,2.8,7.2,1.2,4.3,0.7,1.1,1.4,3.8,1.4,4.8,6.2,3.2,1.5,0.6,7.5
Jaren Jackson  Jr.,MEM,20,26.7,5.7,12.7,2,5.3,2.2,2.8,1.8,4.1,1.4,3.5,4.9,1.4,0.5,1.1,15.7
Dennis Schroder,OKC,20,28.5,6.1,13.8,1.4,4.7,2,2.6,2.8,2.2,0.4,3.5,4,3.8,0.8,0.3,15.6
Christian Wood,DET,20,14.9,3.4,5.4,0.7,1.4,1.5,2.2,0.8,0.8,1.1,3.3,4.5,0.6,0.3,0.9,8.8
Maxi Kleber,DAL,20,25.1,2.8,6.5,1.5,4,1.2,1.4,0.7,1.9,1.7,4.2,5.8,1.1,0.2,0.7,8.3
Marc Gasol,TOR,20,28.7,2.1,6.3,1.2,3.4,0.9,1.2,1.3,3.3,0.7,5.7,6.3,3.4,0.5,1,6.5
Collin Sexton,CLE,20,30.7,6.9,15.7,1.2,3.7,3,3.8,1.9,2.2,0.9,2.3,3.2,2.5,0.9,0.1,18.1
Frank Kaminsky,PHX,20,23.8,3.7,8.6,1.1,3.7,2,3.1,1.1,2,0.9,4.4,5.3,2.2,0.3,0.5,10.6
R.J. Barrett,NYK,20,32.4,5.5,13.8,1,3.1,2.8,5.2,2.5,2.5,1.2,4,5.2,3.2,1.3,0.5,14.7
Rodney Hood,POR,20,30.5,4.3,8.6,1.8,3.5,1.1,1.4,0.9,2.2,0.5,3,3.5,1.6,0.8,0.2,11.5
Jordan Clarkson,CLE,20,22.4,4.5,10.9,1.8,5,3.1,3.5,1.3,1.2,0.6,1.6,2.2,2.5,0.6,0.3,13.9
Tyler Herro,MIA,20,28.2,4.8,11.1,2,5.1,1.9,2.2,2,1.4,0.3,3.5,3.8,1.9,0.7,0.1,13.6
Derrick White,SAS,20,24,3.5,7.5,1,2.5,2,2.6,1.2,2.5,0.6,1.8,2.3,3,0.5,0.7,10.2
Pat Connaughton,MIL,20,18,2.1,4.5,0.8,2.5,0.6,0.8,0.6,1,0.5,3.5,4,1.9,0.3,0.6,5.6
Cedi Osman,CLE,20,29.9,3.6,8.4,1.6,4.3,0.9,1.4,1.3,2.4,0.5,3.1,3.6,2,1,0.2,9.8
Ersan Ilyasova,MIL,20,16.1,2.5,5.2,0.7,2.5,1.2,1.4,0.3,1.7,1.2,3.5,4.7,0.6,0.5,0.3,6.8
Brad Wanamaker,BOS,20,17.5,2.5,5,0.6,1.4,2.1,2.4,1.1,1.8,0.5,1.6,2.1,2.9,0.8,0.2,7.6
Mikal Bridges,PHX,20,20.6,2.4,5.2,0.5,1.8,1.4,1.8,0.6,1.8,0.8,2.7,3.5,1.1,1.4,0.3,6.7
Terence Davis,TOR,20,15.8,2.5,5,1.1,2.7,0.7,0.8,0.7,1.9,0.6,2.5,3,2,0.4,0.2,6.8
Cory Joseph,SAC,20,25.1,2.2,6.2,0.3,1.5,0.8,0.8,1.4,2.2,0.6,2.2,2.8,4.2,0.7,0.6,5.6
Jarrett Culver,MIN,20,23.9,3.6,9.7,1.1,4,0.9,2.2,1.4,2.1,1.1,2.4,3.5,2.5,0.9,0.6,9.2
Austin Rivers,HOU,20,24.7,3,7.2,1.4,4.2,1,1.4,0.7,1.9,0.8,1.9,2.7,1.4,0.5,0.1,8.4
Kevin Knox,NYK,20,20.1,2.5,6.8,1.3,3.7,1.6,2.4,0.8,1.8,0.5,2.5,3,1.3,0.5,0.3,7.8
Patrick Patterson,LAC,20,14.3,1.8,4.2,1.4,3.3,0.3,0.5,0.3,0.8,0.7,2.2,2.9,0.8,0.1,0.1,5.2
Ben McLemore,HOU,20,21.2,2.6,7.2,1.9,6.1,1.1,1.2,0.7,1.9,0.3,2,2.4,0.8,0.7,0.2,8.3
Justin Jackson,DAL,20,13.4,2.4,5,1.1,2.6,0.5,0.6,0.2,1.1,0.5,2.1,2.5,0.3,0.2,0.1,6.4
Furkan Korkmaz,PHI,20,22.9,3.2,7.5,1.7,4.7,0.8,1.1,0.8,1.8,0.2,2.1,2.3,0.8,0.3,0.2,9.1
Alex Caruso,LAL,20,20,2,4.6,0.7,2.1,0.4,0.6,1.1,1.6,0.1,1.9,2,1.9,1.1,0.3,5
Darius Garland,CLE,20,28.2,4,10.7,1.6,4.3,1.1,1.2,2.5,1.3,0.2,1.3,1.5,3,0.8,0,10.8
Darius Bazley,OKC,20,16.8,1.6,3.8,0.7,1.9,0.5,0.8,0.8,0.9,0.3,3.1,3.5,0.6,0.3,0.5,4.2
Dewayne Dedmon,SAC,20,14.9,2.1,5,0.6,2.4,0.6,0.7,1.4,2.5,1.3,2.9,4.2,0.4,0.5,0.6,5.3
Matisse Thybulle,PHI,20,15.6,1.4,3.5,0.8,1.9,0.6,0.8,1.1,2.4,0.2,0.8,1.1,1,1.4,0.7,4.2
Thon Maker,DET,20,11,1.1,2.1,0.3,0.7,0.8,1.6,0.5,1.4,0.5,1.2,1.8,0.5,0.3,0.7,3.5
Marco Belinelli,SAS,20,16.1,1.8,6,0.9,3,0.8,1.1,0.5,0.8,0.1,1.6,1.6,1.6,0.2,0,5.2
Semi Ojeleye,BOS,20,13.7,1,2.4,0.5,1.4,0.3,0.5,0.2,1.1,0.3,1.4,1.8,0.3,0.3,0.1,2.9
